Department,Location,Part,Heci,Description,Qty,UOM,Manufacturer,Notes,Alternative Part Number
HARDWARE,H-2,HB22,,SUPPORT BRACKET KIT (Two Sides),8,EA,,,
HARDWARE,H-2,SFH101M,,"EXISTING 5/8"" ROD TO 2"" CHANNEL FRAMING KIT",9,EA,,,
HARDWARE,,,,,,EA,,,
HARDWARE,,,,,,EA,,,
,,,,,,,,,
HARDWARE,H-3,SB2111B2YZ,,90degree RUNWAY TURN KIT,4,EA,,,
HARDWARE,H-3,SB2110AYZ,,ADJUSTABLE RUNWAY TURN KIT,2,EA,,,
HARDWARE,H-3,SB21352YZ,,"2""STRINGER SPLICE KIT",4,EA,,,
HARDWARE,H-3,CR1-225,,VERTICAL ADJUSTABLE CABLE RACK SPLICE KIT,2,EA,,,
HARDWARE,H-3,CR1-2352YZ,,CABLE RACK CORNER KIT,2,EA,,,
HARDWARE,H-3,284908,,INTERNAL THREAD HEAVY DUTY SEISMIC EXPANSION ANCHOR (Single Anchor),31,EA,,,
HARDWARE,H-3,284908,,INTERNAL THREAD HEAVY DUTY SEISMIC EXPANSION ANCHOR (2 Pack of Anchors),14,EA,,,
HARDWARE,H-3,HL371808,,HEAVY FLOOR MOUNT RACK ANCHOR,4,EA,,,
HARDWARE,H-3,IP7058-HWR,,INSULATING WASHER HARDWARE KIT,5,EA,,,
HARDWARE,H-3,SB-5580-01,,SEISMIC UNEQUAL FLANGE KIT,1,EA,,,
HARDWARE,H-3,FTA3401,,"FASTENING TOP ANGLE TO AUXILIARY BAR 1/2"" KIT",2,EA,,,
HARDWARE,H-3,D-5000-17,,"FASTENING TOP ANGLE TO AUXILIARY BAR 1/2"" KIT",2,EA,,,
HARDWARE,H-3,10340010,,"FASTENING TOP ANGLE TO AUXILIARY BAR 1/2"" KIT",2,EA,,,
HARDWARE,H-3,33581-40B,,"4"" UNI-STRUT CHANNEL SPACER",4,EA,,,
HARDWARE,H-3,35202-01,,INSULATED TOP ANGLE TO AUXILIARY CHANNEL KIT,2,EA,,,
HARDWARE,H-3,IAK2528,,INSULATED TOP ANGLE TO AUXILIARY CHANNEL KIT,2,EA,,,
HARDWARE,H-3,SB2407AYZ,,"3/8"" V BOLT FRAMING KIT",1,EA,,,
HARDWARE,H-3,SFH-812,,"1/2"" U BOLT FRAMING KIT",1,EA,,,
HARDWARE,H-3,20630210,,CABLE RACK TO AUXILIARY FRAMING BAR CLIP WITH J-BOLTS,2,EA,,,
HARDWARE,H-3,2200600000,,SEISMIC CABINET ANCHORING KIT,1,EA,,,
HARDWARE,H-3,2213500000,,SOCKET SCREW WITH WASHER AND ANCHOR BOLT,2,EA,,,
HARDWARE,H-3,219277009C,,JUNCTION KIT FOR SEISMIC RACKS,3,EA,,,
HARDWARE,H-3,RACY033,,ANCHOR KIT 3.5,2,EA,,,
HARDWARE,H-3,221857019C,,HARDWARE FOR ADC RACK,1,EA,,,
HARDWARE,H-3,FGS-HLDR-5/8,,"LADDER RACK KIT 5/8"" ROD",25,EA,,,
HARDWARE,H-3,FGS-HNTR-5/8,,NEW THREADED ROD BRACKET KIT/ CABLE RACEWAY SUPPORT,35,EA,,,
HARDWARE,H-3,FGS-HNTR-F-5/8,,"NEW THREADED ROD BRACKET KIT, 5/8"" FOR 4"" X 12"" SYSTEM",2,EA,,,
HARDWARE,H-3,2147610100,,LEVELING SHIM KIT,1,EA,,,
HARDWARE,,,,,,EA,,,
,,,,,,,,,
CONDUIT H.W.,,,,"1/2"" EMT SET SCREW COUPLINGS",10,EA,,,
CONDUIT H.W.,,,,"1/2"" EMT SET SCREW CONNECTORS",1,EA,,,
CONDUIT H.W.,,,,"1/2"" EMT COMPRESSION COUPLINGS",4,EA,,,
CONDUIT H.W.,,,,"1/2"" EMT (L.B.) CONDULET",1,EA,,,
CONDUIT H.W.,,,,"1/2"" EMT SEAL-TITE CONNECTORS",4,EA,,,
CONDUIT H.W.,,,,"1/2"" EMT ONE HOLE STRAPS",15,EA,,,
CONDUIT H.W.,,,,"3/4"" EMT PRE FABRICATED 90degree ELBOW",2,EA,,,
CONDUIT H.W.,,,,"1"" EMT COMPRESSION COUPLINGS",7,EA,,,
CONDUIT H.W.,,,,"1"" EMT COMPRESSION CONNECTORS",1,EA,,,
CONDUIT H.W.,,,,"1"" EMT ONE HOLE STRAPS",8,EA,,,
CONDUIT H.W.,,,,"1"" EMT GROUND BUSHINGS",2,EA,,,
CONDUIT H.W.,,,,"1"" K.O. SEAL",1,EA,,,
CONDUIT H.W.,,,,"2"" EMT SET SCREW COUPLINGS",9,EA,,,
CONDUIT H.W.,,,,"2"" EMT SET SCREW CONNECTORS",1,EA,,,
CONDUIT H.W.,,,,"2"" EMT COMPRESSION COUPLINGS",4,EA,,,
CONDUIT H.W.,,,,"2"" EMT TREADED RIGID COUPLINGS",4,EA,,,
CONDUIT H.W.,,,,"2"" EMT ONE HOLE STRAPS",10,EA,,,
CONDUIT H.W.,,,,"2"" EMT PIPE HANGER STRAPS",4,EA,,,
